Year,NFC,NFBUS,BUS
1947,9.0,9.5,1.8
1947,-1.2,-11.7,-4.0
1947,0.4,18.0,5.4
1948,19.6,1.8,9.7
1948,8.1,-1.0,8.4
1948,-3.5,0.4,-2.0
1948,10.3,1.8,2.3
1949,6.8,4.2,-1.2
1949,4.0,4.3,1.6
1949,11.2,9.8,12.0
1949,-5.3,-2.2,1.0
1950,18.1,14.4,19.2
1950,10.4,5.0,4.6
1950,3.4,8.9,6.5
1950,1.3,0.7,2.0
1951,-10.8,0.5,-0.2
1951,-2.4,-1.2,1.8
1951,7.7,9.3,11.9
1951,3.7,1.2,-1.1
1952,-0.7,2.1,1.9
1952,2.9,-0.8,3.4
1952,-3.0,-2.0,1.0
1952,15.6,8.6,6.5
1953,5.4,3.5,6.6
1953,2.7,1.0,3.4
1953,1.3,1.7,-0.2
1953,-6.9,-1.3,-0.9
1954,10.8,0.8,0.0
1954,6.9,2.8,5.6
1954,6.9,7.4,6.5
1954,10.1,4.5,5.9
1955,9.0,8.1,6.3
1955,3.1,1.4,3.7
1955,-0.6,1.5,-0.6
1955,1.1,-1.5,-2.6
1956,-3.6,-4.7,-1.4
1956,5.2,2.0,2.3
1956,-0.7,-0.1,-0.1
1956,6.0,4.4,8.6
1957,1.4,4.7,2.7
1957,0.2,-1.6,0.1
1957,2.0,5.8,4.2
1957,3.5,1.4,4.3
1958,-5.0,-5.3,-2.8
1958,7.0,7.8,5.7
1958,7.3,7.7,7.5
1958,8.7,7.0,4.8
1959,3.8,0.5,3.3
1959,7.7,3.9,1.0
1959,-4.5,0.5,3.0
1959,3.3,-1.3,0.5
1960,6.6,9.7,11.5
1960,-3.5,-6.1,-8.1
1960,1.9,2.4,2.2
1960,1.3,-5.1,-3.1
1961,0.8,5.2,4.6
1961,10.5,11.0,13.6
1961,4.2,7.0,5.7
1961,6.9,3.4,3.9
1962,3.2,6.7,3.8
1962,1.1,-1.6,1.3
1962,4.6,6.8,7.5
1962,5.9,3.1,3.7
1963,2.2,1.2,1.7
1963,4.4,3.1,2.1
1963,4.0,10.2,10.5
1963,2.3,-0.3,0.5
1964,-3.0,3.1,4.7
1964,2.4,2.2,0.7
1964,3.8,4.2,4.8
1964,-1.7,-3.8,-2.0
1965,5.9,5.8,7.0
1965,0.4,1.9,-0.1
1965,3.2,8.4,10.8
1965,5.0,7.1,6.0
1966,2.4,5.5,7.3
1966,-0.6,-2.8,-2.5
1966,0.4,1.3,1.4
1966,1.8,2.6,3.3
1967,0.7,3.2,3.6
1967,5.1,1.6,3.5
1967,1.0,2.1,0.9
1967,3.6,1.2,0.9
1968,5.7,9.3,9.0
1968,3.9,3.8,4.2
1968,2.3,0.2,0.7
1968,0.7,-1.0,-0.8
1969,-0.2,3.2,1.3
1969,-1.6,-3.2,-0.4
1969,-0.7,0.5,1.3
1969,-1.3,-1.9,-1.1
1970,-2.3,1.3,1.8
1970,5.6,6.1,4.7
1970,5.3,6.5,7.2
1970,-0.2,-3.6,-2.5
1971,11.0,12.4,12.1
1971,0.1,1.2,0.2
1971,2.4,3.9,5.0
1971,1.4,-3.4,-3.3
1972,4.2,6.4,4.6
1972,0.6,8.1,9.9
1972,1.6,2.3,1.2
1972,2.4,3.5,4.4
1973,5.8,9.3,7.7
1973,-3.7,0.1,1.0
1973,-2.6,-3.7,-5.4
1973,-1.2,-2.5,1.6
1974,-2.5,-0.9,-5.6
1974,0.1,-1.2,1.3
1974,-4.1,-4.0,-3.3
1974,-0.7,3.7,3.2
1975,7.1,3.2,5.7
1975,11.7,6.6,6.6
1975,5.8,5.0,4.4
1975,-0.3,0.4,1.0
1976,7.5,6.1,5.9
1976,0.2,3.8,2.7
1976,1.5,1.0,0.5
1976,-0.8,1.2,2.5
1977,3.6,2.6,2.4
1977,6.8,1.6,0.6
1977,7.0,4.3,5.4
1977,-6.1,-5.0,-4.4
1978,2.9,0.2,-1.6
1978,4.6,8.1,8.1
1978,-3.0,0.3,1.1
1978,0.6,2.6,1.6
1979,0.3,-3.6,-2.3
1979,-2.7,-0.7,-0.4
1979,-2.6,-0.5,-0.1
1979,-0.1,-0.4,-0.8
1980,-0.4,2.0,2.7
1980,-2.4,-4.0,-4.2
1980,5.0,1.6,0.5
1980,4.1,4.1,4.0
1981,3.3,6.3,7.8
1981,0.1,-5.1,-3.5
1981,4.8,3.9,5.7
1981,-2.5,-4.1,-4.7
1982,0.0,-1.8,-1.6
1982,1.0,0.0,0.5
1982,1.6,0.7,0.1
1982,2.6,3.4,3.5
1983,4.7,5.2,3.7
1983,5.5,8.9,7.1
1983,1.7,1.8,1.6
1983,1.8,2.2,3.7
1984,4.3,1.5,2.1
1984,0.4,2.4,3.6
1984,1.7,1.8,2.2
1984,1.9,0.5,0.9
1985,1.5,1.2,1.8
1985,1.8,1.3,1.7
1985,8.0,5.2,6.6
1985,0.3,1.6,1.3
1986,1.9,4.9,3.9
1986,1.1,3.2,2.6
1986,1.9,1.7,2.1
1986,3.7,-0.8,-1.0
1987,-1.4,-1.8,-1.6
1987,4.5,2.8,2.4
1987,3.9,0.1,0.5
1987,1.6,3.9,3.5
1988,5.7,1.4,1.2
1988,1.5,1.0,0.6
1988,-0.3,1.1,1.4
1988,2.7,0.9,0.8
1989,-5.4,0.2,0.8
1989,-2.7,1.3,2.0
1989,1.2,2.0,1.6
1989,1.0,0.1,0.3
1990,-2.1,3.8,4.2
1990,5.3,2.8,3.3
1990,0.4,1.3,2.0
1990,2.9,-4.1,-4.2
1991,1.1,1.3,1.0
1991,4.2,6.6,6.6
1991,1.0,3.5,2.8
1991,2.1,1.9,2.4
1992,6.5,8.2,9.2
1992,0.7,3.5,3.0
1992,1.8,3.6,3.8
1992,2.0,2.5,2.3
1993,-6.4,-3.4,-3.2
1993,4.5,-2.3,-1.7
1993,-1.3,1.7,-0.4
1993,5.0,1.6,3.2
1994,0.7,1.2,0.9
1994,2.2,0.3,-0.4
1994,-0.9,-2.3,-2.0
1994,2.7,4.3,4.0
1995,-0.2,0.3,-0.8
1995,2.9,1.9,1.3
1995,3.5,-0.1,0.3
1995,3.0,2.3,2.8
1996,4.3,2.6,3.0
1996,2.5,3.9,4.5
1996,3.8,1.5,1.5
1996,2.7,0.3,0.6
1997,1.1,-0.8,-0.8
1997,4.0,6.1,6.4
1997,5.7,3.4,3.8
1997,3.4,2.0,2.2
1998,0.3,3.7,3.6
1998,4.6,2.2,1.8
1998,5.7,5.4,5.7
1998,-0.9,3.1,3.4
1999,7.2,5.7,6.3
1999,1.9,1.4,1.4
1999,0.1,3.9,3.8
1999,4.4,6.0,5.6
2000,8.2,-1.5,-1.2
2000,-0.6,7.9,8.3
2000,2.7,-0.1,0.0
2000,-0.4,4.0,4.6
2001,-6.1,-2.1,-2.2
2001,6.1,7.1,6.7
2001,2.7,2.4,2.4
2001,3.3,5.1,5.3
2002,5.9,8.6,7.2
2002,3.9,0.8,1.9
2002,2.6,2.9,3.4
2002,4.3,-0.4,-0.4
2003,2.0,3.9,4.1
2003,6.7,5.4,6.6
2003,5.7,9.0,7.6
2003,3.7,3.7,3.1
2004,2.8,-0.9,0.7
2004,4.7,4.2,3.2
2004,5.4,1.6,1.8
2004,-2.2,2.0,3.6
2005,5.5,4.7,4.0
2005,2.3,-0.8,-1.5
2005,-4.0,2.5,2.9
2005,7.9,0.4,0.9
2006,2.6,3.0,3.1
2006,-2.0,-0.7,-0.8
2006,3.4,-1.2,-1.6
2006,0.9,3.3,2.9
2007,1.9,1.0,1.3
2007,0.2,1.4,1.5
2007,-5.7,3.8,3.8
2007,3.3,3.3,2.7
2008,-1.8,-2.6,-2.2
2008,3.4,4.6,4.2
2008,8.9,0.9,0.8
2008,-5.7,-2.3,-2.2
2009,-11.0,3.8,4.3
2009,10.8,8.7,8.3
2009,7.4,5.4,5.8
2009,10.6,6.3,6.5
2010,3.1,2.2,1.8
2010,-0.6,0.6,0.3
2010,2.3,2.2,2.6
2010,-4.9,1.7,1.5
2011,1.7,-2.7,-2.8
2011,2.0,0.5,0.2
2011,-0.3,-1.3,-1.3
2011,-1.3,2.8,3.0
2012,6.0,1.8,1.4
2012,0.8,1.7,1.5
2012,-5.1,-0.4,-0.3
2012,6.7,-1.3,-1.0
2013,0.1,2.2,3.3
